"Company Name","Address","ZIP Code","Legal Name","Record Type","Neighborhood","Census Block Group","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Square Footage","Latitude","Longitude"
"Shannon Family Enterprises Inc","2127 W Seybert St","19121","SHANNON FAMILY ENTERPRISES INC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975574","-075.171355"
"Sharswood II Apartments","1415 N 21st St","19121","","Unverified","Sharswood","2","","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","1 to 4","Single Loc","13","5,000 - 9,999","039.976361","-075.169932"
"Sharswood II Assoc LP","1450 N 21st St","19121","SHARSWOOD II ASSOC LP","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","5","2,500 - 4,999","039.977092","-075.170034"
"Siakwado Development Assn USA","1328 N 22nd St","19121","","Unverified","Sharswood","2","","861102","Associations","81391002","Business Associations","1 to 4","Single Loc","4","","039.976012","-075.172069"
"Silhouette Publishing","2225 N College Ave","19121","","Unverified","Sharswood","2","","274105","Publishers (Mfrs)","51319907","All Other Publishers","1 to 4","Single Loc","4","","039.974888","-075.173047"
"Six Brothers Inc","2305 W Thompson St","19121","SIX BROTHERS INC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975293","-075.173894"
"Slade Unlimited LLC","2325 W Thompson St","19121","SLADE UNLIMITED LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","11","1 - 1,499","039.975351","-075.174458"
"Soft Play Ground","2058 Ridge Ave","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.976910","-075.169451"
"Solomon Bull","2311 N College Ave","19121","","Unverified","Sharswood","2","","421213","Grain Hauling","48422005","Specialized Freight (Except Used Goods) Trucking,","1 to 4","Single Loc","15","1,500 - 2,499","039.974805","-075.174151"
"South Carolina Bapt Convention","2212 Stewart St # A2","19121","","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","1","","039.977210","-075.172218"
"South Central Investments LLC","2033 W Master St","19121","SOUTH CENTRAL INVESTMENTS LLC","Unverified","Sharswood","2","","621111","Investments","52391001","Miscellaneous Intermediation","1 to 4","Single Loc","4","","039.976021","-075.169532"
"Sparkk Umoja LLC","2401 W Jefferson St","19121","SPARKK UMOJA LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.978088","-075.174802"
"Sparkling New LLC","2316 W Seybert St","19121","SPARKLING NEW LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.975556","-075.174163"
"Spyked By Chevvyb LLC","2339 W Thompson St","19121","SPYKED BY CHEVVYB LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975396","-075.174854"
"Sqad Inc","2101 S College Ave","19121","SQAD INC","Unverified","Sharswood","3","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.972736","-075.173275"
"St Bear Imports & Exports LLC","2130 W Master St","19121","ST BEAR IMPORTS & EXPORTS LLC","Unverified","Sharswood","2","","509905","Importers (Whls)","42399019","Other Miscellaneous Durable Goods Merchant Wholesa","1 to 4","Single Loc","4","","039.975943","-075.171221"
"St Paul House Of Worship","2024 Ridge Ave","19121","","Unverified","Sharswood","2","","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","4","","039.976016","-075.169021"
"Stephen Girard Collection","2101 S College Ave # 116","19121","","Unverified","Sharswood","3","","841201","Museums","71211001","Museums","1 to 4","Single Loc","17","1,500 - 2,499","039.973010","-075.170870"
"Stop & Recover","2349 W Thompson St","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975434","-075.175135"
"Stormi's Special-Tees","1204 N Ringgold St","19121","","Unverified","Sharswood","2","","275902","Screen Printing (Mfrs)","32311301","Commercial Screen Printing","1 to 4","Single Loc","4","","039.974806","-075.176108"
"Strength In Numbers Group LLC","1444 N 21st St","19121","STRENGTH IN NUMBERS GROUP LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.977069","-075.170039"
"Studio Hair Rx LLC","2101 N College Ave","19121","STUDIO HAIR RX LLC","Unverified","Sharswood","2","","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","11","1 - 1,499","039.975227","-075.171211"
"Supreme Painting","1212 N Ringgold St","19121","SUPREME PAINTING","Unverified","Sharswood","2","","172101","Painters","23832003","Painting And Wall Covering Contractors","1 to 4","Single Loc","3","","039.974961","-075.176078"
"Supreme Realtor LLC","2109 W Seybert St # A","19121","SUPREME REALTOR LLC","Unverified","Sharswood","2","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","4","","039.975622","-075.170835"
"T & K Grassroots LLC","2409 N College Ave","19121","T & K GRASSROOTS LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.974583","-075.176230"
"T Barber Enterprises LLC","2447 Harlan St","19121","T BARBER ENTERPRISES LLC","Unverified","Sharswood","1","","724101","Barbers","81211101","Barber Shops","1 to 4","Single Loc","4","","039.977169","-075.176190"
"Taj Real Estate & Invstmnt LLC","1410 N 23rd St","19121","TAJ REAL ESTATE & INVSTMNT LLC","Unverified","Sharswood","1","","653118","Real Estate","53121003","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","4","","039.976689","-075.173524"
